Exporter Country ID,Exporter Country,Year,Trade Value,HS6,Cube
sapry,Paraguay,2018,40379.0,16850610,trade_i_baci_a_96
saven,Venezuela,2018,11908.0,16850610,trade_i_baci_a_96
afago,Angola,2019,6065.0,16850610,trade_i_baci_a_96
afben,Benin,2019,21047.0,16850610,trade_i_baci_a_96
afbfa,Burkina Faso,2019,45570.0,16850610,trade_i_baci_a_96
afbwa,Botswana,2019,1774.0,16850610,trade_i_baci_a_96
afciv,Cote d'Ivoire,2019,83.0,16850610,trade_i_baci_a_96
afcmr,Cameroon,2019,452.0,16850610,trade_i_baci_a_96
afcod,Democratic Republic of the Congo,2019,14158.0,16850610,trade_i_baci_a_96
afcog,Republic of the Congo,2019,1285.0,16850610,trade_i_baci_a_96
afcpv,Cape Verde,2019,6461.000000000002,16850610,trade_i_baci_a_96
afdza,Algeria,2019,677.9999999999999,16850610,trade_i_baci_a_96
afegy,Egypt,2019,4518651.0,16850610,trade_i_baci_a_96
afgab,Gabon,2019,12338.0,16850610,trade_i_baci_a_96
afgha,Ghana,2019,231633.0,16850610,trade_i_baci_a_96
afgnq,Equatorial Guinea,2019,341.0,16850610,trade_i_baci_a_96
afken,Kenya,2019,4059.0,16850610,trade_i_baci_a_96
aflbr,Liberia,2019,17.0,16850610,trade_i_baci_a_96
aflso,Lesotho,2019,287.0,16850610,trade_i_baci_a_96
afmar,Morocco,2019,2324.0,16850610,trade_i_baci_a_96
afmli,Mali,2019,1601504.0,16850610,trade_i_baci_a_96
afmoz,Mozambique,2019,383.0,16850610,trade_i_baci_a_96
afmus,Mauritius,2019,125.0,16850610,trade_i_baci_a_96
afnam,Namibia,2019,33153.0,16850610,trade_i_baci_a_96
afner,Niger,2019,197311.0,16850610,trade_i_baci_a_96
afnga,Nigeria,2019,89058.0,16850610,trade_i_baci_a_96
afrwa,Rwanda,2019,2203055.0,16850610,trade_i_baci_a_96
afsen,Senegal,2019,1245.0,16850610,trade_i_baci_a_96
afshn,Saint Helena,2019,6.999999999999999,16850610,trade_i_baci_a_96
afsle,Sierra Leone,2019,261.0,16850610,trade_i_baci_a_96
afssd,South Sudan,2019,5.0,16850610,trade_i_baci_a_96
afswz,Eswatini,2019,3612.0,16850610,trade_i_baci_a_96
afsyc,Seychelles,2019,694.0000000000001,16850610,trade_i_baci_a_96
aftgo,Togo,2019,920930.0,16850610,trade_i_baci_a_96
aftun,Tunisia,2019,10881.0,16850610,trade_i_baci_a_96
aftza,Tanzania,2019,172213.0,16850610,trade_i_baci_a_96
afuga,Uganda,2019,2327.0,16850610,trade_i_baci_a_96
afzaf,South Africa,2019,3096134.0,16850610,trade_i_baci_a_96
afzmb,Zambia,2019,29011.999999999996,16850610,trade_i_baci_a_96
asafg,Afghanistan,2019,905.9999999999999,16850610,trade_i_baci_a_96
asare,United Arab Emirates,2019,13389429.0,16850610,trade_i_baci_a_96
asarm,Armenia,2019,38808.0,16850610,trade_i_baci_a_96
asaze,Azerbaijan,2019,3122.0,16850610,trade_i_baci_a_96
asbgd,Bangladesh,2019,1968.0,16850610,trade_i_baci_a_96
asbhr,Bahrain,2019,168870.0,16850610,trade_i_baci_a_96
asbrn,Brunei,2019,510486.0,16850610,trade_i_baci_a_96
aschn,China,2019,1551921528.0,16850610,trade_i_baci_a_96
ascyp,Cyprus,2019,31233.0,16850610,trade_i_baci_a_96
asgeo,Georgia,2019,26802.0,16850610,trade_i_baci_a_96
ashkg,Hong Kong,2019,33898846.0,16850610,trade_i_baci_a_96
asidn,Indonesia,2019,151905448.0,16850610,trade_i_baci_a_96
asind,India,2019,6080467.0,16850610,trade_i_baci_a_96
asiot,British Indian Ocean Territory,2019,15.0,16850610,trade_i_baci_a_96
asirn,Iran,2019,6.0,16850610,trade_i_baci_a_96
asirq,Iraq,2019,168725.0,16850610,trade_i_baci_a_96
asisr,Israel,2019,2626941.0,16850610,trade_i_baci_a_96
asjor,Jordan,2019,225564.0,16850610,trade_i_baci_a_96
asjpn,Japan,2019,27979007.0,16850610,trade_i_baci_a_96
askaz,Kazakhstan,2019,53612.0,16850610,trade_i_baci_a_96
askgz,Kyrgyzstan,2019,3630.0,16850610,trade_i_baci_a_96
askhm,Cambodia,2019,26384.0,16850610,trade_i_baci_a_96
askor,South Korea,2019,6821180.0,16850610,trade_i_baci_a_96
askwt,Kuwait,2019,29902.0,16850610,trade_i_baci_a_96
aslao,Laos,2019,199.0,16850610,trade_i_baci_a_96
aslbn,Lebanon,2019,113488.0,16850610,trade_i_baci_a_96
aslka,Sri Lanka,2019,21902.0,16850610,trade_i_baci_a_96
asmac,Macau,2019,25950.0,16850610,trade_i_baci_a_96
asmng,Mongolia,2019,591.0,16850610,trade_i_baci_a_96
asmys,Malaysia,2019,115936155.0,16850610,trade_i_baci_a_96
asomn,Oman,2019,890658.0,16850610,trade_i_baci_a_96
aspak,Pakistan,2019,5101.0,16850610,trade_i_baci_a_96
asphl,Philippines,2019,609412.0,16850610,trade_i_baci_a_96
asqat,Qatar,2019,5749.000000000001,16850610,trade_i_baci_a_96
assau,Saudi Arabia,2019,422443.0,16850610,trade_i_baci_a_96
assgp,Singapore,2019,275342308.0,16850610,trade_i_baci_a_96
astha,Thailand,2019,87735198.0,16850610,trade_i_baci_a_96
astjk,Tajikistan,2019,50.0,16850610,trade_i_baci_a_96
astur,Turkey,2019,1333426.0,16850610,trade_i_baci_a_96
astwn,Chinese Taipei,2019,1738209.0,16850610,trade_i_baci_a_96
asuzb,Uzbekistan,2019,71604.0,16850610,trade_i_baci_a_96
asvnm,Vietnam,2019,19142727.0,16850610,trade_i_baci_a_96
asyem,Yemen,2019,805.0,16850610,trade_i_baci_a_96
eualb,Albania,2019,1146.0,16850610,trade_i_baci_a_96
euand,Andorra,2019,6644.0,16850610,trade_i_baci_a_96
euaut,Austria,2019,1761219.0,16850610,trade_i_baci_a_96
eubel,Belgium,2019,402630388.0,16850610,trade_i_baci_a_96
eubgr,Bulgaria,2019,5509262.0,16850610,trade_i_baci_a_96
eubih,Bosnia and Herzegovina,2019,87318.0,16850610,trade_i_baci_a_96
eublr,Belarus,2019,462417.0,16850610,trade_i_baci_a_96
euche,Switzerland,2019,4113605.0,16850610,trade_i_baci_a_96
eucze,Czechia,2019,14717706.0,16850610,trade_i_baci_a_96
eudeu,Germany,2019,253679049.0,16850610,trade_i_baci_a_96
eudnk,Denmark,2019,1945036.0,16850610,trade_i_baci_a_96
euesp,Spain,2019,23423032.0,16850610,trade_i_baci_a_96
euest,Estonia,2019,2027097.0,16850610,trade_i_baci_a_96
eufin,Finland,2019,1020217.9999999999,16850610,trade_i_baci_a_96
eufra,France,2019,17055255.0,16850610,trade_i_baci_a_96
eugbr,United Kingdom,2019,46231483.0,16850610,trade_i_baci_a_96
eugrc,Greece,2019,6822051.0,16850610,trade_i_baci_a_96
euhrv,Croatia,2019,586687.0,16850610,trade_i_baci_a_96
euhun,Hungary,2019,3948509.0,16850610,trade_i_baci_a_96
euirl,Ireland,2019,624255.0,16850610,trade_i_baci_a_96
euisl,Iceland,2019,299.0,16850610,trade_i_baci_a_96
euita,Italy,2019,11906152.0,16850610,trade_i_baci_a_96
eultu,Lithuania,2019,3476409.0,16850610,trade_i_baci_a_96
eulux,Luxembourg,2019,263305.0,16850610,trade_i_baci_a_96
eulva,Latvia,2019,3275955.0,16850610,trade_i_baci_a_96
eumda,Moldova,2019,2.0,16850610,trade_i_baci_a_96
eumkd,North Macedonia,2019,5651.0,16850610,trade_i_baci_a_96
eumlt,Malta,2019,231072.0,16850610,trade_i_baci_a_96
eumne,Montenegro,2019,29654.0,16850610,trade_i_baci_a_96
eunld,Netherlands,2019,35473760.0,16850610,trade_i_baci_a_96
eunor,Norway,2019,950008.0,16850610,trade_i_baci_a_96
eupol,Poland,2019,218189609.0,16850610,trade_i_baci_a_96
euprt,Portugal,2019,1919846.0,16850610,trade_i_baci_a_96
eurou,Romania,2019,3155077.0,16850610,trade_i_baci_a_96
eurus,Russia,2019,6112163.0,16850610,trade_i_baci_a_96
eusrb,Serbia,2019,108412.0,16850610,trade_i_baci_a_96
eusvk,Slovakia,2019,2773054.0,16850610,trade_i_baci_a_96
eusvn,Slovenia,2019,464615.0,16850610,trade_i_baci_a_96
